"","latitude","longitude","Unit","multi","YrNights"
"1",38.9316091195459,-77.0234384642739,1,0,156
"2",38.9372408141278,-77.0264882629057,0,0,5.37534246575343
"3",38.9104609140116,-77.0193306765468,0,1,12
"4",38.9113537110627,-77.0175449001442,1,0,186
"5",38.8619251949004,-76.9896343496547,0,1,6
"6",38.9588759940834,-77.0255385688281,1,1,24
"7",38.9184173372201,-77.0275002582142,0,0,4.54794520547945
"8",38.8617682340982,-76.989659471757,0,1,24
"9",38.910664681505,-77.0043766279889,0,1,72
"10",38.9459765670442,-76.9786015436163,1,0,90
"11",38.9220315413775,-77.0444736686246,1,0,114
"12",38.9133070587812,-77.0243577385507,0,0,42
"13",38.9154675885947,-77.0017802447409,0,1,21.2054794520548
"14",38.9064493918152,-76.9430500422135,0,1,18
"15",38.9140905454137,-76.9936794518221,0,1,228
"16",38.9193270013021,-77.0412378314196,1,1,6
"17",38.9547921938911,-77.0363139464216,0,1,102
"18",38.9198802476869,-77.0979584094865,1,1,54
"19",38.9600038957357,-77.0242542666009,0,1,66.5753424657534
"20",38.930919456928,-77.040331979298,0,1,6
"21",38.8769799773883,-77.0156910481418,0,0,18
"22",38.9208298301523,-77.0398652626686,0,1,120
"23",38.8779151843857,-76.9847426486492,0,0,12
"24",38.9114647996545,-77.0363607818925,1,1,36
"25",38.9276925788548,-76.9827701090122,1,1,6
"26",38.8780506319806,-76.9882959069742,0,0,6
"27",38.9282775133713,-77.0763806340567,1,1,18
"28",38.9274362610081,-77.0749592629028,0,1,114
"29",38.9269952560486,-77.0764455075171,0,1,18
"30",38.9042684265719,-77.0265596308551,0,0,24
"31",38.9146474660889,-77.0465373286093,1,1,6
"32",38.8986610393933,-77.0017941635382,1,1,30
"33",38.9270806397119,-77.0767997014568,0,1,6
"34",38.9040539632147,-77.0519914283552,1,1,11.1780821917808
"35",38.8990972669662,-77.0326905454047,1,1,150
"36",38.9093265469497,-77.0348446442249,0,1,126
"37",38.8937129807833,-77.0187753708404,1,1,162
"38",38.9459232859771,-77.0233097262415,1,1,288
"39",38.8822488793099,-77.0177390027796,1,1,28.6027397260274
"40",38.9107240844314,-77.0197764665994,0,1,96
"41",38.9068882066774,-77.0250837655979,1,1,24
"42",38.9316999026298,-77.0413151888734,0,1,78
"43",38.9480812485994,-77.0300588153233,1,1,24
"44",38.9175780060096,-77.0491698128228,1,1,84
"45",38.8930198571244,-76.9801356158602,0,1,34.8164383561644
"46",38.9171216996748,-77.0463137330599,0,0,66
