id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1584246,Private 2 Rooms Deck near Medical A,4646337,Amy,,Mission Hill,42.33237105611251,-71.11774891592367,Entire home/apt,144,2,63,2015-09-23,2.53,1,341
1881771,"It's home, Cambridge! (2BD/2BA)",9796499,Marisa,,Allston,42.355635492134226,-71.11297687593557,Entire home/apt,250,2,21,2015-09-16,1.00,1,337
4532629,"nice, clean and warm",15154687,Taskin,,Charlestown,42.38412781813823,-71.08307891114497,Entire home/apt,500,2,4,2015-09-19,0.51,14,365
3637581,2+ bdrm w/ porch 1 blk from Harvard,614436,Dennis J.,,Allston,42.36721256361725,-71.11577885269337,Entire home/apt,541,3,1,2015-02-03,0.12,1,349
4580886,"Cozy, sunfilled, luxury unit 2",7744792,John,,Charlestown,42.385327254083265,-71.07919424996543,Entire home/apt,180,7,1,2015-04-22,0.18,5,283
6323228,Spacious Living Room right on the T,20160138,Sam,,Fenway,42.34474038586486,-71.10867793442279,Shared room,70,2,9,2015-08-13,2.39,2,121
1107634,Luxury Condo in Harvard Square,6081409,Diana,,Allston,42.37302088576381,-71.12551134598961,Entire home/apt,300,1,14,2015-07-16,0.49,1,301
7841421,Quiet & Convenient Room in Newton,15151322,Jianmin,,Brighton,42.35476543627734,-71.17891343462115,Private room,65,2,7,2015-09-17,4.57,3,32
8222232,Nice and Quiet place to stay,4955038,Delma,,East Boston,42.395221751624106,-70.98710668417897,Private room,44,1,0,,,1,320
6291767,Awesome Private Roof Deck Penthouse,31859565,Austin,,Fenway,42.35117785224038,-71.0941645803339,Entire home/apt,200,2,1,2015-05-25,0.23,1,209
4557566, Luxury Apartment ,23626748,Sam,,Downtown,42.36938318371878,-71.07081943935782,Entire home/apt,350,1,1,2014-11-20,0.09,1,273
8210702,Quaint Victorian Gem,28583327,Natasha,,Allston,42.34727088620327,-71.12989580456752,Entire home/apt,239,1,5,2015-09-29,5,2,155
4623630,Comfy bedrm near airport w/ parking,15489841,Casey,,East Boston,42.38739637787295,-71.02967413969048,Private room,115,1,95,2015-09-23,9.13,1,351
3044039,Luxurious En-Suite bath by B.C #1,15501263,Tina & Jon,,Brighton,42.3324768112387,-71.16155603976166,Private room,120,2,15,2015-09-28,2.50,5,155
7706386,Cozy Corner Minutes From Downtown,40482685,Paul,,Charlestown,42.38660817166977,-71.08045456629937,Private room,80,1,5,2015-09-01,2.88,1,303
4997112,"Cosy home, great location",8993560,Salman,,Longwood Medical Area,42.33777777159983,-71.1164018010527,Private room,279,1,37,2015-09-27,4.63,1,326
4112115,Beautiful Brownstone Apartment,20160138,Sam,,Fenway,42.34552699874974,-71.10882280084421,Entire home/apt,215,2,8,2015-08-30,0.68,2,4
6763377,Modern Studio in East Boston,35406818,Mary,,East Boston,42.366744727473225,-71.04218881385907,Entire home/apt,100,1,1,2015-06-15,0.27,1,337
2735475,Newton PRIVATE COTTAGE near Boston ,2754487,Susan,,Brighton,42.35383706964198,-71.17927343242769,Entire home/apt,100,2,89,2015-08-31,5.30,1,0
4549434,Charles River Apt-Harvard/Cent Sq,7721770,Nicole,,Allston,42.36723364319944,-71.11352629112595,Entire home/apt,208,1,14,2015-09-28,1.52,1,210
5136127,"Lovely, spacious, unique, pking,lux",7744792,John,,Charlestown,42.38382733130979,-71.08097047678753,Entire home/apt,175,7,2,2015-08-31,0.91,5,291
923378,Apartment by Charles River and HBS,2863349,Michael,,Allston,42.36560615278386,-71.11357600689537,Entire home/apt,110,2,59,2015-09-19,2.02,2,184
3962875,Cozy private room near T,19246369,Joe,,Charlestown,42.38234666640576,-71.08536535545431,Private room,59,1,30,2015-09-30,2.31,15,350
4150175,The Brookline Roost,6391436,Robin,,Brighton,42.34081094639575,-71.1358335460961,Entire home/apt,225,3,30,2015-09-28,4.86,4,274
24063,Riverbend Bed and Breakfast,96414,Polly,,Allston,42.37602153165968,-71.13154257711298,Private room,120,2,122,2015-09-05,1.87,1,330
8392471,Simple clean room near Harvard/MIT,19246369,Joe,,Charlestown,42.38164316147335,-71.08586923810621,Private room,65,1,5,2015-09-28,5,15,350
20000,Temporary Housing Boston,68870,Jim & Afiyah,,East Boston,42.38260844402933,-71.00171516903808,Private room,70,1,205,2015-09-22,3.04,3,346
7080737,3 minutes Walk to Harvard Square,3668535,JLee,,Allston,42.371605778742136,-71.11576536718324,Private room,169,1,2,2015-07-09,0.67,2,355
5761461,Private floor w/ own bath and entry,29514895,Tim,,Charlestown,42.38327607700985,-71.08401476361348,Private room,115,2,35,2015-09-17,5.90,1,48
7222803,"Upscale 3 bed,Brookline Village",31340713,Kama,,Mission Hill,42.33294775839131,-71.1159941204788,Entire home/apt,395,2,5,2015-09-14,3.26,3,331
6955976,Good Stay Next to Harvard: ROOM 3,36462476,Nina,,Allston,42.36886458022809,-71.11353945598026,Private room,75,1,11,2015-09-15,3.75,5,292
4821764,Steps from Harvard Square ,18406156,Tania & Barry,,Allston,42.369995021789336,-71.11364093324994,Entire home/apt,159,1,1,2015-09-01,0.91,1,259
6643926,River View Apartment,4298040,Jon,,Allston,42.3608113911146,-71.11443649140244,Entire home/apt,130,1,1,2015-07-19,0.39,1,55
6926575,"1. Central Square, Fenway Park & BU",21647935,Ivan / Kim,,Allston,42.35930399438673,-71.11268924804284,Entire home/apt,325,3,6,2015-08-24,2.17,2,156
4580619,Sparkling new sun filled unit apt 7,7744792,John,,Charlestown,42.38448335634204,-71.07891992447625,Entire home/apt,175,7,0,,,5,251
5933544,Gorgeous Brookline/Boston home (#1),30808826,Sean And Bernadine,,Brighton,42.34159019673319,-71.13504113490691,Entire home/apt,500,2,10,2015-09-21,2.01,3,143
977860,Bedroom near Longwood Hospitals,5350366,Scott,,Mission Hill,42.33446342887401,-71.11369527739755,Private room,80,3,8,2015-10-02,0.33,2,287
7461804,Private Bedroom -BU-Harvard-MIT,39084179,Pierre,,Allston,42.349033740990976,-71.12607110137039,Private room,70,2,6,2015-08-23,2.90,1,47
7679156,Private room in small Cambridge apt,34840204,Dominique,,Allston,42.3664945129451,-71.11645366003654,Private room,95,1,0,,,2,34
8163095,"Quiet, classy in walkable Brookline",37364647,,,Brighton,42.336718392118236,-71.1449328960112,Private room,250,1,1,2015-09-27,1,1,84
370390,Your room - 10 Min to Boston center,1866924,David,,Charlestown,42.38184181785449,-71.08115521286147,Private room,45,14,115,2015-09-26,2.67,2,288
7966114,Upscale & Roomy 3BR by Flatbook,12243051,,,Allston,42.347379335736335,-71.11620658055995,Entire home/apt,240,3,1,2015-09-23,1,19,289
6958589,8min walk to harvard square-room 2,36462476,Nina,,Allston,42.36895310368403,-71.11336421126745,Private room,100,1,8,2015-09-14,2.67,5,343
6391260,Bedroom and Study-room,460907,Francisco,,Allston,42.34905416923126,-71.12463988704448,Private room,65,3,1,2015-05-17,0.21,1,120
8277917,Private room with private bathroom,19246369,Joe,,Charlestown,42.38319544901037,-71.08468232525938,Private room,65,1,2,2015-09-15,2,15,355
5951665,"Harvard, MIT,BU-Flower private room",4695018,Alex,,Allston,42.36552376065082,-71.11288160407766,Private room,65,2,2,2015-04-25,0.36,1,311
2373699,Modern Private Room w/ Loveseat,5593127,Joleen,,Charlestown,42.384569019601656,-71.08200790057666,Private room,75,3,6,2015-08-01,0.43,2,336
5757612,"2 Bedroom Apartment Near Boston, MA",29860335,Eugene,,Charlestown,42.3817571770997,-71.08122644967841,Entire home/apt,140,1,45,2015-10-01,7.22,1,192
8392534,Cozy room near T,19246369,Joe,,Charlestown,42.383151614174665,-71.0859766019065,Private room,59,1,3,2015-09-26,3,15,351
7835480,Private room near Harvard Sq,41268827,Erik And Traci,,Allston,42.37692237024499,-71.13318708690095,Private room,101,2,5,2015-10-01,3.13,1,339
5709047,"cozy,nice, clean full house",15154687,Taskin,,Charlestown,42.38267811600721,-71.08289659489944,Entire home/apt,500,2,1,2015-09-19,1,14,365
311240,"Luxury Back Bay Studio, River Views",1600541,Marina,,Back Bay,42.35703965545252,-71.08450084359534,Entire home/apt,275,2,63,2015-09-30,1.43,1,349
1758953,Suzy's North End - Little Italy,9247845,Suzy,,North End,42.369284064713106,-71.05617180639946,Entire home/apt,200,1,31,2015-09-27,1.73,1,334
3792065,Traveling Professionals Wanted!,19468185,Suzy,,Mattapan,42.26859901635777,-71.07612611036636,Entire home/apt,150,3,3,2015-09-14,1.91,1,360
4997889,Large Room Across From Harvard Yard,14080573,Ana,,Allston,42.371229162082095,-71.11521012540469,Private room,120,1,37,2015-10-01,5.14,1,346
7142392,1840's bedroom in Cambridgeport,1001917,Kathleen,,Allston,42.357796083615476,-71.11319389883823,Private room,99,1,15,2015-08-24,5.42,1,63
7046415,Gorgeous 1BR Harvard + Central Sqs,34461217,Nicholas,,Allston,42.367080720990955,-71.1125840519891,Entire home/apt,175,1,5,2015-09-05,3.49,1,44
4520159,#19-3B Room in Beautiful Shared Apt,1461240,Monica,,Allston,42.369979924435384,-71.11572995306821,Private room,170,1,20,2015-09-15,4.80,5,11
3766684,Beautiful/Family friendly/Boston,10015985,Maria Jose,,Brighton,42.33789481584877,-71.14490976393198,Entire home/apt,200,2,3,2015-07-20,0.80,1,230
7999097,Fawlty Towers (entire apartment),42225096,Austin,,Allston,42.37684797725513,-71.13142926270444,Entire home/apt,156,1,2,2015-09-21,1.67,2,28
8009748,Fawlty Towers,42225096,Austin,,Allston,42.37513490278589,-71.13219387656882,Private room,90,1,6,2015-10-02,6,2,294
5085125,Cozy Private Bedroom in Boston,5235073,YuChen,,Allston,42.35010964759181,-71.12561363802918,Private room,65,1,55,2015-09-30,6.47,1,320
7615984,Sunny Private Room in Harvard Sq,1178288,Akiko,,Allston,42.37013855962776,-71.11443569788105,Private room,108,1,5,2015-08-29,2.63,1,330
5592996,"Sunny 2BR, Harvard, MIT, Central Sq",16131390,Clement,,Allston,42.36577258096058,-71.11491085095065,Private room,89,3,17,2015-09-21,2.52,1,6
8579799,Beautiful Apt in a Great Location!,5992030,Asasia,,Allston,42.349373118377656,-71.12854809271583,Entire home/apt,250,2,0,,,1,360
6119918,"Cozy, Patio, Pool, and Whole Foods",546854,Sanjay,,Brighton,42.344673950234345,-71.13668891136697,Entire home/apt,150,2,21,2015-09-14,4.17,2,346
5671806,Luxury Fenway Brownstone-Beacon St,29406566,Jennifer,,Fenway,42.34535000231358,-71.10684236073557,Entire home/apt,400,1,5,2015-07-27,0.90,1,29
6063867,Spend summer in Cambridge-Boston!,3431869,Hansun,,Allston,42.36478012254956,-71.11484375495749,Private room,40,1,10,2015-08-22,2.40,1,141
5957631,Beautiful Water View Room by BC,15501263,Tina & Jon,,Brighton,42.33292020192814,-71.16008577018087,Private room,125,1,5,2015-09-19,3.41,5,137
2098613,"Clean cozy bedroom, parking incl.",10664362,Rachel,,Fenway,42.35517751206122,-71.10913626940338,Private room,90,2,8,2015-09-24,1.74,1,297
3285585,"Home in Brookline, with a pool",16605319,Limor,,West Roxbury,42.29916636516566,-71.14667876546665,Entire home/apt,1200,1,3,2015-07-19,0.62,2,365
1016376,Comfortable Private Room for Rent,5593127,Joleen,,Charlestown,42.38483801398423,-71.08263839052543,Private room,75,1,7,2015-08-10,0.25,2,336
7939312,Sunny rm near Jamaica Pond,229882,Allison,,Jamaica Plain,42.32509873444705,-71.1227225028847,Private room,100,1,7,2015-09-28,5.25,1,328
6703483,Private Bedroom near Harvard,16790574,John,,Allston,42.368279296036285,-71.11385909118216,Private room,69,1,8,2015-09-07,2.55,2,233
6390139,Private room in Washington Square,31867411,Esen,,Brighton,42.34104745069376,-71.13620497301783,Private room,110,1,9,2015-09-26,2.11,1,111
5434327,Cozy private apt walk to Subway,28191112,Joseph,,East Boston,42.396689088856355,-70.98788569937993,Entire home/apt,119,3,2,2015-07-19,0.55,1,68
