id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1637015,Tranquil Retreat ,8693993,Marie,Northwest,32.620881097369235,-117.07507909278677,Private room,45,1,25,2015-06-19,1.62,1,354
5333851,Private Room with Private Bathroom,27379237,Michael,Northwest,32.652535543121786,-117.08479652387237,Private room,59,3,6,2015-06-15,1.31,1,87
3858558,GREAT PLACE DOWNTOWN CHULA VISTA!!,18987395,Brenda,Northwest,32.6406675198946,-117.08305534296471,Private room,70,1,2,2015-05-17,0.20,1,309
805038,Luxury Private Apartment ½ Acre Lot,4237741,Michael,Northwest,32.65017689188386,-117.08453360766049,Entire home/apt,120,2,124,2015-06-22,4.04,2,282
4066042,Chillaxing in San Diego. ,21011607,Nathalie,Allied Gardens,32.81470135984897,-117.08506906028717,Private room,115,1,0,,,1,365
706493,Amazing canyon views- 1 story home ,3630950,Elizabeth,Allied Gardens,32.81923587694444,-117.08007259758574,Entire home/apt,289,4,7,2015-04-29,0.28,1,318
2997167,Upscale Spacious 4 Bedroom House ,8992436,Lorraine,Allied Gardens,32.81725893365084,-117.07936951927817,Entire home/apt,395,3,1,2015-04-07,0.31,3,290
3719278,"Private quiet 3 bdr with pool, spa",17178936,David,Allied Gardens,32.82268902496864,-117.08193623131,Entire home/apt,220,2,0,,,2,210
6377794,Beautiful Home in Tierrasanta,33243076,Jorge,Allied Gardens,32.81649410835154,-117.09024918038872,Private room,80,1,0,,,1,365
4880925,Bedroom Available in Large Home,21943063,Carol,Rancho Del Rey,32.64348375024128,-117.03003769832657,Private room,99,1,0,,,1,365
3412992,Private Room in Rancho del Rey,17200414,Ulises,Rancho Del Rey,32.64362040450582,-117.03058891673653,Private room,65,1,7,2015-02-16,0.61,1,361
3767607,"Private ""Casita"" Apartment ",19302804,Keri,Rolling Hills Ranch,32.66816524799618,-116.94230806689421,Entire home/apt,95,1,10,2015-06-22,0.98,1,336
3979378,"Private Studio-Pool,Spa, Bike,BBQ",19694409,Kara,Rolling Hills Ranch,32.67502617804717,-116.94538805604869,Entire home/apt,65,2,10,2015-06-29,1.23,1,263
2748251,Quaint & Quirky Golden Hill Loft,14060904,Rebeca,Balboa Park,32.71828820719496,-117.13917492441362,Entire home/apt,200,2,2,2014-07-29,0.14,1,362
3801297,Sunny apt in hip SD neighborhood!,17055223,Jamie,Balboa Park,32.7194597653903,-117.13717335368601,Entire home/apt,130,2,11,2015-06-08,1.18,1,340
2243256,The Little Castle of South Park,11457676,Martin And Diah,Balboa Park,32.725746971305576,-117.13273215356222,Entire home/apt,195,3,5,2015-06-01,0.33,1,269
3434522,A mile away from Comic-Con,12618722,Amine,Balboa Park,32.71480978353816,-117.14429630127725,Entire home/apt,450,2,1,2014-07-27,0.09,1,232
3310338,Great private detached studio,11279312,Linda,Balboa Park,32.74078714197595,-117.14377480108435,Entire home/apt,65,1,18,2014-09-02,1.43,1,0
1220018,Midcentury Victorian Charm w/ View!,1692264,Jasmine,Balboa Park,32.71617137846401,-117.14326898366002,Private room,75,2,27,2015-03-17,1.09,1,99
6987249,"Cozy ComicCon apt, walk/bus to con",7943197,Sarah,Balboa Park,32.71525952544208,-117.14114079576521,Entire home/apt,395,3,0,,,2,17
3332682,Great space - Great neighborhood!,16824972,Gosia,Balboa Park,32.71512536943957,-117.135387063543,Entire home/apt,169,2,7,2014-09-01,0.56,1,213
1210341,1 room for comic con in large apt,4121094,Jenna,Balboa Park,32.71498645167122,-117.13520500779939,Entire home/apt,145,2,6,2015-04-03,0.52,1,249
181283,Tropical Ambiance 3 min to Town ,861297,Terry,Balboa Park,32.716381604794385,-117.13811385482256,Entire home/apt,125,2,17,2015-06-29,0.45,12,312
6488434,Nature's Palette,16396099,Jennifer,Balboa Park,32.726658758623024,-117.1320813972664,Entire home/apt,150,3,0,,,3,328
198692,Charming Centrally Located Condo,947422,Lisa,Balboa Park,32.7222115422692,-117.1326692967722,Entire home/apt,140,3,37,2015-06-19,0.82,1,313
6002387,Modern 2 bedroom near comic con,7186112,Jennifer,Balboa Park,32.72354472107098,-117.13236669303589,Entire home/apt,550,2,0,,,1,353
224140,"Private, quiet, near Gaslamp 1br",931501,Alik,Balboa Park,32.71717919674914,-117.13315471336398,Entire home/apt,102,2,19,2015-03-20,0.43,7,344
2830499,Treehouse near parks and downtown! ,2108691,Susan,Balboa Park,32.72798755584027,-117.13394609293532,Entire home/apt,128,2,1,2014-11-09,0.13,1,282
723711,$79/ 1 mile to downtown/bay/gaslamp,861297,Terry,Balboa Park,32.716200478967274,-117.14434827598448,Entire home/apt,79,2,52,2015-06-11,1.63,12,290
798268,Artsy/Craft Apt. in Golden Hill,4203882,David,Balboa Park,32.71587343747176,-117.14239447407148,Entire home/apt,200,2,42,2015-05-26,1.37,1,267
6588843,Central Private Room pool access!,30319497,Marcel,Balboa Park,32.71665905671566,-117.1298684132274,Private room,56,1,2,2015-06-20,2,2,354
6600860,"1 BR/BA, Just 1 mile from Downtown!",34528465,David,Balboa Park,32.71781527021661,-117.14364620717241,Entire home/apt,125,1,1,2015-07-05,1,1,168
5113536,South Park Casual Elegance,16396099,Jennifer,Balboa Park,32.72509532163132,-117.1307225814785,Entire home/apt,145,3,11,2015-07-02,2.60,3,252
2228529,Centrally Located Golden Hill Flat ,1028043,Mira And Jesse,Balboa Park,32.717878146396394,-117.14459394170645,Entire home/apt,145,1,19,2015-06-30,1.19,9,351
3413201,Charming Craftsman in Golden Hill,16999041,Pat,Balboa Park,32.713740964655464,-117.14324920928023,Private room,145,3,1,2014-07-28,0.09,2,352
4483919,Charming guest cottage includes all,23264635,Alina,Balboa Park,32.71765395446902,-117.13416476053438,Entire home/apt,259,5,0,,,1,365
2425702,Charming Studio Near Downtown,3134951,Eric,Balboa Park,32.718552137054935,-117.14219468217593,Entire home/apt,124,1,43,2015-07-05,3.08,5,330
4068885,Gorgeous 3 bedroom Canyon House,3134951,Eric,Balboa Park,32.72305840075606,-117.1325678317997,Entire home/apt,330,2,10,2015-07-05,1.14,5,353
3553485,Goldenhill Bedroom or living room,17889243,Victor,Balboa Park,32.71714887254692,-117.13976222957365,Private room,80,1,7,2015-06-29,0.59,1,356
3571771,"Spacious, Modern 1BR, Blocks to D/T",17984137,Keith,Balboa Park,32.71755124208143,-117.14377084224245,Entire home/apt,89,1,4,2015-05-24,0.35,1,281
5917736,Cozy Craftsman in Golden Hill,3982956,Christian,Balboa Park,32.71505729078566,-117.13885442966831,Entire home/apt,350,3,1,2015-07-06,1,1,173
947476,sleeps 13/ 3 min to convention/cnt.,861297,Terry,Balboa Park,32.71578431015954,-117.14378190127859,Entire home/apt,320,2,11,2015-05-27,0.46,12,314
4840036,Cozy Homestay in South Park,24908621,Nancy,Balboa Park,32.718433497757054,-117.1346691844139,Private room,45,1,34,2015-06-22,5.64,1,33
6119361,Private Room in a Beautiful House!,18684207,Dave,Balboa Park,32.71549751051182,-117.14429353128303,Private room,59,2,9,2015-07-03,3.97,2,328
3664143,Charming Space in Golden Hill,4006222,Malachi,Balboa Park,32.718479894908256,-117.14013645387692,Private room,200,2,0,,,1,340
3369288,Charming Craftsman in Golden Hill,16999041,Pat,Balboa Park,32.71419077677317,-117.14390725795779,Private room,195,3,1,2014-07-28,0.09,2,356
3468709,Need Rooms for Comic Con? ,17476693,Chris,Balboa Park,32.72041202353053,-117.13100710750706,Private room,125,1,0,,,4,349
6476350,Cozy room n charming craftsman home,33834469,Mario,Balboa Park,32.71612294320898,-117.14661100823584,Private room,250,3,0,,,1,17
3468995,Need a room for Comic Con?,17476693,Chris,Balboa Park,32.72031672527003,-117.13113659052193,Private room,125,1,0,,,4,348
6079745,Spacious San Diego Master Bedroom,24834150,Shawnzy,Balboa Park,32.71734526520951,-117.13179494784156,Private room,49,1,9,2015-07-05,4.43,1,74
3653657,Affordable Comic-Con Space!,18481918,Mike,Balboa Park,32.716447731098285,-117.14532236933228,Shared room,150,1,0,,,1,328
6570453,Urban Cottage,23386991,Dorothy,Balboa Park,32.72330038011632,-117.13134130976081,Entire home/apt,225,3,3,2015-06-28,3,1,309
3800932,Cozy Studio. San Diego Near Park,19524419,Marc,Balboa Park,32.71598506845928,-117.14052471410238,Entire home/apt,75,2,59,2015-07-06,5.48,2,326
3561830,Cecelia's On The Park,17932725,Ed &Tim,Balboa Park,32.74037434373378,-117.14336849379443,Entire home/apt,195,3,18,2015-06-30,1.54,1,304
3615821,"Convenient & Roomy, Farmish Charm",16511588,Anne,Balboa Park,32.720195435047465,-117.13066934169736,Entire home/apt,135,1,28,2015-06-28,2.42,1,341
746233,Tropical garden 3/min to town,861297,Terry,Balboa Park,32.7160568237007,-117.13998819072899,Entire home/apt,125,2,27,2015-07-01,1.00,12,323
3569193,Quaint Studio Apt walk to Comic Con,17970139,Michael,Balboa Park,32.71625416424779,-117.14283536296541,Entire home/apt,199,1,0,,,1,337
502692,"Private, quiet studio near Gaslamp",931501,Alik,Balboa Park,32.71533892065207,-117.13906285274048,Entire home/apt,85,2,33,2015-06-12,0.91,7,328
1328311,San Diego South Park/August special,1772942,Denise,Balboa Park,32.7287236223017,-117.1307416595844,Entire home/apt,125,4,3,2014-07-28,0.20,1,336
927665,1 bed 3 min/convention/dntown $89,861297,Terry,Balboa Park,32.71487478959973,-117.14316052805337,Entire home/apt,89,1,32,2015-06-16,1.10,12,305
1007156,Convention center and downtown zoo,861297,Terry,Balboa Park,32.71601227249568,-117.14392907098646,Entire home/apt,99,2,24,2015-07-06,0.87,12,171
5720705,Modern Victorian 1BD near Downtown,29662715,Quinn,Balboa Park,32.717605980323206,-117.14072036276798,Entire home/apt,185,1,5,2015-06-14,1.67,1,359
1320702,Slps/4/$125/ Dwn town convene/cent,861297,Terry,Balboa Park,32.7174126641784,-117.13965719201734,Entire home/apt,125,2,16,2015-06-19,0.67,12,312
