id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
284106,Exquisite Modern Spacious Flat,1478274,David,,Brooklyn Action Corps,45.490951596830485,-122.64037147554116,Entire home/apt,145,1,24,2015-08-05,0.55,4,292
3593506,Bright and Airy Brooklyn Cottage,1978398,Sydney,,Brooklyn Action Corps,45.49777959405898,-122.6498393775873,Entire home/apt,185,2,19,2015-08-22,5.00,3,344
4863271,Bed + private bath in central SE,25016067,Rebecca,,Brooklyn Action Corps,45.49803077593488,-122.65674860974725,Private room,60,2,10,2015-08-16,2.94,1,163
7051664,"Bright, cozy apartment in Portland",36981269,Lance And Nicole,,Brooklyn Action Corps,45.493312099909545,-122.65045040154891,Entire home/apt,115,1,20,2015-08-31,10.91,2,330
5459565,"Casa Zen, close-in SE Craftsman",3663520,Robyn,,Brooklyn Action Corps,45.500836784075624,-122.65714687460189,Entire home/apt,240,3,14,2015-08-18,3.00,2,313
2803267,Updated Space with Great Location,10088507,Ashley And Benjamin,,Brooklyn Action Corps,45.49468332359198,-122.65126834734292,Entire home/apt,160,2,44,2015-08-29,2.78,2,333
243905,"Sunny, Modern House in SE Portland",943675,Marisa,,Brooklyn Action Corps,45.49386303091407,-122.64937485767722,Entire home/apt,115,5,6,2015-08-13,0.53,1,79
2778332,Bright & Cheery Close to Everything,10088507,Ashley And Benjamin,,Brooklyn Action Corps,45.49595842369652,-122.65150002617536,Entire home/apt,120,2,50,2015-08-30,3.46,2,329
4977383,The Bearberry Suite,3494139,Alex,,Brooklyn Action Corps,45.50093908493261,-122.6550030282004,Entire home/apt,120,1,53,2015-08-19,7.72,1,294
196035,Cozy Furnished Studio in Brooklyn,953811,Brooklyn B&B,,Brooklyn Action Corps,45.491109833456555,-122.65344364482736,Private room,85,2,48,2015-08-21,0.98,1,249
5327623,"Cool Hosts, Two Guys, Heart of PDX",24770429,Scott,,Brooklyn Action Corps,45.49745561022491,-122.65335568899012,Shared room,50,1,35,2015-08-19,5.97,1,356
4849460,Quaint Victorian,24951596,Elizabeth,,Brooklyn Action Corps,45.49856267035836,-122.65576797814124,Private room,65,2,0,,,1,82
3012785,"Cozy Bed, Yummy Breakfast, Pool !! ",14809879,Judy,,Bridlemile,45.487896268527415,-122.73659591510365,Private room,46,3,44,2015-08-31,2.80,1,320
635432,Spacious SW Portland 1 bd Apartment,3166372,Alexandra,,Bridlemile,45.49027753567194,-122.72214259582235,Entire home/apt,99,2,40,2015-08-03,1.08,1,286
7933637,Beautiful Modern House in the Woods,41835206,Andi,,Hillsdale,45.48235697053821,-122.68615157498245,Entire home/apt,200,2,0,,,1,306
5251023,Mid-century Modern Portland House,9929321,Bridget,,Hillsdale,45.483391035728815,-122.69748351187783,Entire home/apt,175,2,13,2015-08-31,3.42,1,338
4947833,Spacious luxury suite in Hillsdale,16581757,Gary And Debra,,Hillsdale,45.47830753688661,-122.69066455208318,Private room,95,1,30,2015-08-30,9.09,1,66
2959405,Large room w/ prvt attached bathrm,1109407,J & B,,Hillsdale,45.48488755451971,-122.69114419285688,Private room,95,2,14,2014-08-19,0.89,1,0
4029371,Cascadian Cave,20890006,Omri,,Hillsdale,45.473648932555115,-122.6888386105485,Private room,59,1,1,2014-09-12,0.08,1,338
7510884,Private room close to downtown!,16351508,Alan,,Hillsdale,45.4668587794414,-122.69568499975108,Private room,50,1,0,,,1,360
3012122,Two Rooms at the Perfect Spot,7504672,Barbara And Gary,,Hillsdale,45.48782717901241,-122.70235942461842,Private room,135,2,10,2015-07-19,0.81,4,288
2881024,"Yet Another ""Perfect Spot""",7504672,Barbara And Gary,,Hillsdale,45.48553256422609,-122.70267530732791,Private room,65,2,10,2015-08-03,0.64,4,247
3439204,Wooded Luxury w/Downtown Access,11853939,Kristin,,Hillsdale,45.49593331196895,-122.71185820368392,Entire home/apt,140,2,32,2015-08-25,2.77,1,313
200544,SW Hills Architectural 3 Bedroom,971012,Cindy,,Hillsdale,45.4696078883694,-122.69686744889155,Entire home/apt,400,1,12,2015-06-22,0.25,2,349
6674963,Lovely Contemporary in Close-In SW,34935700,Stephanie,,Hillsdale,45.476421819678066,-122.68433010564786,Entire home/apt,250,2,2,2015-08-22,2,1,97
7330215,Kosher Condo,23955222,Jodi,,Hillsdale,45.47318857779831,-122.69689863454813,Entire home/apt,150,1,0,,,1,69
2692251,Magnificent View from West Hills,13164795,Lee,,Hillsdale,45.486492751140695,-122.69100246356649,Entire home/apt,85,2,22,2015-08-31,1.52,1,338
5404942,Updated Mid Century Modern Close-In,28017147,Stephanie,,Hillsdale,45.4775089863941,-122.68667637868676,Entire home/apt,300,2,3,2015-08-18,0.90,1,118
5465523,West Hills Apt Suite,25176071,Lathen & Anne-Marie,,Hillsdale,45.478392083799136,-122.699892009109,Entire home/apt,83,4,42,2015-08-27,7.04,1,292
4558343,Moving to Portland Central,8530650,Virginia,,Hillsdale,45.48454340941299,-122.68815395811713,Entire home/apt,100,2,8,2015-08-27,1.53,1,359
3360209,Mid-Century Modern w/ Outdoor Space,1527567,Taylor,,Hillsdale,45.491551196344545,-122.70470797338753,Entire home/apt,239,2,5,2015-07-19,0.42,1,25
684858,A little COUNTRY in the City!,3492059,Judy,,Hillsdale,45.48097176384999,-122.69530162286631,Entire home/apt,100,3,55,2015-08-23,1.56,1,292
1454895,Boundary Street House: Inner SW,1235398,Anne,,Hillsdale,45.484750219462796,-122.704613482583,Entire home/apt,134,2,81,2015-08-29,3.97,1,349
533759,A Room With A View for You to Enjoy,2620862,Shelby,,Hillsdale,45.481110568154314,-122.69274146181444,Private room,90,1,26,2014-08-08,0.69,1,242
8017783,Room in SW Portland Home,18777528,Julia,,Hillsdale,45.47721710487374,-122.6806248154121,Private room,52,1,0,,,1,25
1983541,Another Perfect Spot in Portland,7504672,Barbara And Gary,,Hillsdale,45.48705618609784,-122.70189081458527,Private room,70,2,33,2015-08-24,1.80,4,284
2919433,"Quiet, Private Apartment Retreat",13267370,Keith,,Hillsdale,45.48242640736307,-122.68690228089943,Entire home/apt,135,3,40,2015-08-26,2.47,1,320
1526443,The Perfect Spot,7504672,Barbara And Gary,,Hillsdale,45.487878946255506,-122.70094573808625,Private room,75,2,45,2015-08-31,2.11,4,288
633385,➳ Sweet Room in Central SW Home ➳,2974150,Shannon,,Hillsdale,45.47134173016865,-122.6861053311696,Private room,66,2,69,2015-08-28,1.91,3,334
639236,Bird's Eye Master w/Spa-like Bath ,3190134,,,Hillsdale,45.486400797445086,-122.6927353708673,Private room,107,28,16,2015-07-27,0.61,1,365
4951006,Tiny House Retreat in SE Portland,7548435,Michelle,,Foster-Powell,45.495649159946495,-122.58622324107505,Entire home/apt,100,1,12,2015-08-09,1.59,1,22
1069642,Cozy Daylight Basement Apartment,1716834,Malia,,Foster-Powell,45.49246118113118,-122.5956762511832,Entire home/apt,75,1,101,2015-08-31,3.85,1,329
1688463,"Little hen & HARE,  SE Holgate",3135730,Amber&Justin,,Foster-Powell,45.49206798540619,-122.5830833002201,Entire home/apt,115,2,29,2015-07-22,1.32,1,312
5761854,SE Portland studio!,14754305,Jodi,,Foster-Powell,45.492382588035646,-122.59514564425349,Entire home/apt,60,3,19,2015-08-25,3.83,1,330
2593388,Urban Farm & Whimsy,8091237,Jenn,,Foster-Powell,45.489093803770096,-122.59176628226645,Private room,55,2,43,2015-08-28,2.80,1,267
3875448,1 BR QN BED PVT BATH PET FREE HOME,19252862,Kelly,,Foster-Powell,45.496683163918505,-122.60326157551106,Private room,65,2,28,2015-08-18,2.21,1,275
1571381,Foster-Powell Big Awesome House,8355694,Liz,,Foster-Powell,45.49028145057155,-122.59117107580352,Private room,40,1,13,2015-08-30,0.54,1,320
640874,Cozy Private Spotless 1 Bdrm Apt,3200651,Holly,,Foster-Powell,45.4890406563732,-122.59496989881366,Entire home/apt,70,1,39,2015-04-19,1.06,1,44
6985337,"Lovely, Spacious SE Bungalow",36624404,Jaime,,Foster-Powell,45.49507710084699,-122.60508056182864,Entire home/apt,89,1,10,2015-09-02,5.56,1,200
857220,"Spacious, Comfy Basement Suite",4440080,Lori 'N Podji,,Foster-Powell,45.49278118767733,-122.58294074462529,Private room,67,1,91,2015-08-29,2.88,1,322
1348628,Backyard Garden Tiny House,3675574,Wisteria,,Foster-Powell,45.49072346721974,-122.59185669318758,Entire home/apt,89,1,202,2015-08-31,8.02,1,339
4518904,Entire Upstairs w/Private Bathroom,2312710,Laurie,,Foster-Powell,45.49475204217278,-122.5980399391257,Private room,57,1,33,2015-08-15,3.81,1,337
3409311,craftsman house- accommodates 4,17190425,Teri,,Foster-Powell,45.4945949503038,-122.5985328085387,Private room,70,2,80,2015-08-17,5.93,1,19
6910551,Sunny SE PDX home close to buses,36214243,Mari,,Foster-Powell,45.48926725278121,-122.58951390252348,Entire home/apt,140,1,0,,,1,320
2792392,Modern Micro Studio in Fo-Po,14281776,Jessica,,Foster-Powell,45.494905861453574,-122.58095891265657,Entire home/apt,65,1,78,2015-08-26,5.12,1,141
6555772,New Modern house in SE N'hood!,34286584,Kristy,,Foster-Powell,45.49301164178828,-122.59580153189695,Entire home/apt,275,2,0,,,1,7
